Date,a[au],e[],i[rad],node[rad],omega[rad],mA[rad]
2039 AUG 06 08:36:52.3168702125549,2.322075924140544,0.59653287,0.11675074249531117,4.635135229058355,2.4319812484141745,2.436683169016608e-09
2030 NOV 30 23:25:17.0842336416245,2.13136794234936,0.67481914,0.26051088102557207,5.680736396970702,1.3869890465718122,-3.77338096425597e-09
2038 FEB 01 15:06:48.6683468818665,1.7497577756287195,0.45301318,0.4054792551464526,2.5450838392426407,4.523397164919259,1.15653577018139e-09
2038 AUG 09 12:23:41.8251960277557,3.590691424635744,0.72616832,0.2509311352805182,1.2858962434364762,5.782649553965187,-1.6148334580183635e-09
2048 FEB 03 00:41:07.7064158916473,2.249236547075232,0.75676723,0.08823286362385051,4.607114882753039,2.461086279535076,-6.70601176676455e-08
2053 JUL 15 06:05:57.3383255004883,1.57723098764088,0.53615019,0.08491627727813876,7.545596199399757,5.806698237402715,-1.603061139117218e-06
2043 SEP 09 17:04:20.3499419689179,1.3915948878099837,0.3787468,0.026763206871980423,1.9381168537996145,5.12985602681812,7.527496242484002e-09
2027 NOV 01 14:20:51.9033122062683,1.715469621541104,0.64986279,0.11880894645033503,-0.243704781582098,1.0277078076122232,8.103714958336351e-09
2039 MAY 11 00:15:14.1095645427704,2.026111041425328,0.89987073,0.06849906107139835,2.345837855073683,4.723406038088217,7.338269023161011e-10
2025 OCT 05 05:53:58.2373456954956,1.215023734466256,0.62584903,0.04729472961234911,1.4368105139965286,5.633048649142702,1.4290820114190332e-08
2026 MAR 04 21:36:53.6400339603424,0.9295490812704097,0.42244735,0.32027365987419854,1.5395298364968422,5.528594821489996,-2.553605841421908e-09
2034 AUG 03 21:45:12.4487910270691,2.150600053135248,0.6363732,0.12739746560797457,5.585283115102612,1.4864153458324765,-9.88718174530966e-09
2048 JUN 22 04:48:23.0397527217865,2.622467278386384,0.63873762,1.1376690317149214,5.135257426435448,1.9331554346462958,-3.7243309837605756e-09
2042 MAY 01 08:42:22.3750209808350,3.067791474709104,0.6919816,0.25628207042103746,-0.32746534120813836,1.1123114859629284,2.7161825311808635e-07
2031 AUG 11 19:34:31.3516900539398,2.7206041642528325,0.79966487,3.14158148348258,4.699129295032842,2.370976322982971,3.576289289613578e-10
2027 OCT 24 23:28:00.0034179687500,1.5355660143457919,0.45364923,0.7473075392965635,4.225525071880316,2.844005540866044,1.8531782899405454e-08
2034 JUN 15 01:47:18.2388956546783,1.2062410925410558,0.20659699999999998,0.21239119361699985,1.279459032332872,5.787749652105044,3.02903183941333e-08
2036 SEP 30 15:36:06.5371356010437,2.097506195152368,0.62697297,0.40840121556697145,4.743898417151218,2.324701019369895,-3.284175696504402e-09
2031 MAY 17 16:57:56.1573497056961,1.891348263694032,0.4982614000000001,1.129510856645617,6.600595155422763,6.749446651666652,-1.6376610694734265e-09
2045 APR 14 23:23:49.0976886749268,1.737944484729024,0.43212985,0.0592476379385833,4.498051382858712,2.5725507070056945,-1.7063333543351518e-08
2041 JAN 10 07:10:43.9199173450470,1.8690087026925601,0.63972889,0.008531573252937194,3.3495046060514557,3.715823367003796,-3.625386511566489e-10
2048 AUG 04 03:19:54.3308942317963,1.18103308518624,0.17748655,0.6057277393717224,1.9904062321327376,5.0791825074562045,3.356120380934172e-08
2052 SEP 11 16:39:37.9942505359650,1.572556112096112,0.48433770000000004,0.3176101827159001,7.605030696764882,5.745126217980813,2.178127931075647e-09
2041 JUL 02 16:23:06.8922500610352,0.9321177527794704,0.07575109,0.40446586462286716,6.141245513694858,7.207234200801936,1.4458131987198053e-05
2054 JAN 16 07:13:12.4759109020233,1.8819629120291999,0.47107054,0.06375785845039247,-1.2607986056421592,2.0492475551416245,2.306206514678344e-09
2032 JUN 24 07:14:21.8521809577942,1.5339551883152638,0.3529801,0.5303417504436239,3.8300624497968414,3.2381610162306194,-6.558252195552375e-09
2037 DEC 30 07:02:15.1054177284241,1.93232322583872,0.58792034,0.915032353962987,5.404555815874949,1.665368311706142,-3.60431257779708e-09
